query_id,category,question,expected_answer,generated_answer,response_time(sec),retrieved_source_count,retrieved_sources
103,Genetics,What is the LRRK2 gene?,The LRRK2 gene provides instructions for producing a protein involved in cellular signaling. Mutations in LRRK2 are among the most common genetic causes of inherited Parkinson's disease.,"The LRRK2 (PARK8) gene encodes a large (2,527 amino acids) cytosolic protein, also referred to as 'dardarin' (meaning tremor). This protein includes both kinase and GTPase catalytic sites, along with multiple other protein-protein interaction domains.

LRRK2 has multiple functions, being involved in vesicular trafficking, autophagy, protein synthesis, and cytoskeletal function, and it also interacts with mitochondrial proteins. It is present at the synapse, where it associates with and/or phosphorylates proteins involved in vesicle endocytosis and trafficking. LRRK2 is highly expressed in the medium-sized spiny neurons of the striatum, as well as in macrophages and microglia, suggesting an involvement in inflammatory pathways and the immune system. Its expression in microglia is induced by pro-inflammatory stimuli and affects microglial activation. In peripheral immune cells, its expression is increased by inflammatory mediators such as interferon-γ (IFNγ) and lipopolysaccharide (LPS).

Mutations in the LRRK2 gene are the most common genetic cause of both familial and sporadic Parkinson's disease. These mutations are mainly found in the functional domains (Kinase and Roc-Cor), suggesting a dysregulation of kinase and GTPase activities, with a toxic gain of function as a possible mechanism. Besides Parkinson's disease, mutations and variants in LRRK2 are also found in immune-related disorders and autoimmune diseases such as inflammatory bowel disease (IBD), type 1 diabetes, Crohn disease, ulcerative colitis, rheumatoid arthritis, celiac disease, psoriasis, multiple sclerosis, and leprosy.",6.11,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\cells-09-01687_genetics.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\review_articles\795.full.pdf
104,Genetics,What is the SNCA gene?,The SNCA gene encodes the alpha-synuclein protein. Mutations or multiplication of this gene can lead to abnormal protein aggregation and increase the risk of Parkinson's disease.,"The SNCA gene encodes the ASN protein and corresponds to the PARK1 and PARK4 loci. Mutations in the SNCA gene account for approximately 1% of cases in the general population. SNCA, encoding ASN, is the principal component of Lewy bodies and is a cause of Parkinson's Disease (PD). Triplication of the SNCA gene causes a two-fold increase in ASN expression and may also cause orthostatic hypotension in PD patients. Allele-dependent expression of immune-related genes has been reported for eQTLs near or in SNCA. Clinical trials are targeting SNCA, among other genes.",2.59,5,data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\biomarkers\12264_2017_Article_183.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf
105,Genetics,What is the PARK gene?,"The term 'PARK genes' refers to a group of genes, such as PARK2 (Parkin), PINK1, and DJ-1, that are associated with inherited forms of Parkinson's disease.","Many Mendelian forms of Parkinson's Disease (PD) adopt the PARK gene nomenclature. For example, SNCA is designated PARK1, PRKN is PARK2, and ATP13A2 is PARK9. However, these labels have not always been applied systematically, and some genes causing familial parkinsonian syndromes were initially classified using other prefixes.

Some loci assigned a PARK designation have a yet unconfirmed relationship to the disease (e.g., PARK3, PARK5, PARK11, PARK13, PARK18, PARK21, PARK22), and others are classified as risk loci (e.g., PARK10, PARK12, PARK16).",4.34,5,data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf
106,Genetics,Can Parkinson's disease run in families?,"Yes. Although most cases are not inherited, some families have multiple affected members because of inherited genetic mutations.","You and your family may have questions or fears about Parkinson’s and genetics. While there are several genetic mutations that can increase your risk, for the vast majority of people, Parkinson’s is not inherited.",2.08,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf
107,Genetics,Should family members undergo genetic testing?,Genetic testing may be considered for individuals with a strong family history or early-onset Parkinson's disease after appropriate genetic counseling.,I could not find sufficient information in the provided documents.,8.89,5,data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf
108,Genetics,What mutations cause Parkinson's disease?,"Mutations in genes such as LRRK2, SNCA, PARK2 (Parkin), PINK1, DJ-1, VPS35, and GBA have been associated with Parkinson's disease.","Mutations in several genes can increase the risk of Parkinson's disease (PD). These include the LRRK2 gene, the alpha-synuclein gene, the GBA gene, the PRKN gene, and the DJ-1 gene. In total, mutations in more than 20 genes have been associated with the disease.",2.75,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
109,Genetics,Is young-onset Parkinson's genetic?,"Young-onset Parkinson's disease is more likely to have a genetic basis, particularly involving mutations in PARK2, PINK1, or DJ-1 genes.","Yes, mutations in genes are often associated with early onset or atypical symptoms of Parkinson's disease. The likelihood of a genetic variant is larger in cases of onset before 40 years and a positive family history. Genetic testing is recommended for patients with early onset Parkinson's (less than 40 years old) or very early onset syndromic forms of parkinsonism.",2.41,5,data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf
110,Genetics,What is genetic counseling?,"Genetic counseling is a process that helps individuals and families understand the genetic risks, inheritance patterns, testing options, and implications of Parkinson's disease.",I could not find sufficient information in the provided documents.,1.95,5,data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf
111,Genetics,How common are genetic causes?,"Genetic causes account for approximately 10–15% of Parkinson's disease cases, while most cases occur without a clear inherited cause.","Single-gene variants, including high-penetrance, Mendelian alleles, are discovered in 5–10% of all Parkinson's Disease (PD) cases. However, it is now recognized that virtually all PD cases likely have detectable genetic influences, with genetic factors contributing to virtually all cases due to more than 80 genetic loci harboring common risk variants.",4.03,5,data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf
112,Genetics,What is the role of alpha-synuclein genes?,"The SNCA gene produces alpha-synuclein, and mutations or increased copies of this gene promote protein aggregation and Lewy body formation in Parkinson's disease.",I could not find sufficient information in the provided documents.,3.73,5,data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Symptoms and causes - Mayo Clinic.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf
113,Genetics,Are gene therapies available?,Gene therapies for Parkinson's disease are currently under clinical investigation and are not yet part of routine clinical treatment.,"The provided context states that ""there is an ongoing GDNF gene therapy clinical trial for PD,"" and it is not described as a ""recognized treatment option for the disease."" Other mentions refer to past trials, ongoing clinical trials, or strategies for gene therapy, but none indicate that gene therapies are currently available as a recognized treatment.",3.83,5,data\Parkinson_Disease\research_papers\genetics\nihms-1563137_genetics.pdf | data\Parkinson_Disease\research_papers\treatment\nihms-1563137.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1907958_genetics.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf
114,Genetics,Can genetics predict Parkinson's disease?,"Genetic testing can identify certain risk-associated mutations, but it cannot accurately predict whether an individual will definitely develop Parkinson's disease.","There is no test that can accurately predict who will develop Parkinson’s. While knowledge of an underlying gene defect within a family allows for predictive testing within asymptomatic family members, in some carriers of highly penetrant variants, the disease will not manifest due to incomplete penetrance.",3.77,5,data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf
115,Genetics,Is Parkinson's disease inherited from parents?,"Most Parkinson's disease cases are not directly inherited, although certain inherited gene mutations can increase the risk in some families.","While there are several genetic mutations that can increase your risk, for the vast majority of people, Parkinson’s is not inherited.",2.15,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf
116,Rehabilitation,What types of exercise are recommended for Parkinson's disease?,"Recommended exercises include aerobic exercise, walking, cycling, strength training, balance exercises, flexibility exercises, yoga, tai chi, and physiotherapy to improve mobility and reduce fall risk.","Recommended types of exercise for Parkinson's disease include:

*   Standing up from, and sitting down onto the floor
*   Rolling over on the floor
*   Standing and walking on foam, with and without pushes & pulls to the trunk (perturbation)
*   Sitting down onto, and rising from a chair (while dual tasking)
*   Walking:
    *   around and over obstacles
    *   with sudden stops and changes in walking direction, including walking backwards
    *   turning round in big and small spaces
    *   while dual tasking, such as talking, carrying an object or turning head left to right
*   Using cueing (visual, such as walking over tiles or taped lines; auditory, such as using a metronome, music or counting)
*   Climbing steps or stairs
*   Trampoline jumping with adequate support
*   Treadmill training
*   Water-based exercising (hydrotherapy)
*   Complementary forms of exercise like dance, Tai Chi, Nordic walking, and boxing
*   Functional-task exercises, using large and fast movements whilst lying down, sitting, standing or walking
*   Isolated resistance exercises, addressing large before small muscle groups and multiple-joint before single-joints
*   Exercises combining physical capacity and functional mobility, such as training knee and hip extensor power while rising from a chair, ankle plantar flexion power while climbing stairs, and endurance while walking in changing directions.",5.68,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
117,Rehabilitation,Which exercises are recommended for Parkinson's disease?,"Recommended exercises include aerobic exercise, walking, strength training, balance exercises, flexibility training, cycling, tai chi, and yoga to improve mobility and reduce fall risk.","The recommended exercises for Parkinson's disease include:

*   Standing up from, and sitting down onto the floor
*   Rolling over on the floor
*   Standing and walking on foam, with and without pushes & pulls to the trunk
*   Sitting down onto, and rising from a chair (while dual tasking)
*   Walking:
    *   around and over obstacles
    *   with sudden stops and changes in walking direction, including walking backwards
    *   turning round in big and small spaces
    *   while dual tasking, such as talking, carrying an object or turning head left to right (and telling what is seen)
*   Using cueing (visual, such as by walking over tiles or taped or chalked lines on the floor; auditory, such as by using a metronome, music or pwp’ counting)
*   Climbing steps or stairs
*   Trampoline jumping with adequate support
*   Treadmill training
*   Water-based exercising (hydrotherapy)
*   Functional-task exercises, using large and fast movements whilst lying down, sitting, standing or walking
*   Isolated resistance exercises, addressing large before small muscle groups and multiple-joint before single-joints
*   Complementary forms of exercise like dance, Tai Chi, Nordic walking and boxing",4.6,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf
118,Rehabilitation,Is walking beneficial?,"Yes. Regular walking improves gait, balance, cardiovascular fitness, muscle strength, and overall mobility in people with Parkinson's disease.","Yes, walking is beneficial. The context indicates that walking outcomes improved regardless of the mode of gait training applied. Benefits include improvements in functional outcomes such as walking activities, gait speed, and spatiotemporal gait parameters. Specific examples include VR with walking in place improving the 6MWT, incremental speed-dependent treadmill training improving walking distance, and Nordic walking on the treadmill improving mobility.",2.9,5,data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
119,Rehabilitation,Can yoga help Parkinson's disease?,"Yes. Yoga may improve balance, flexibility, posture, strength, and mental well-being while reducing stress and improving quality of life.","Yes, studies have investigated the effects of yoga on Parkinson's disease. Research has looked into changes in non-motor symptoms following an 8-week yoga intervention, the effects of power yoga, and the effects of yoga on oxidative stress, motor function, and non-motor symptoms in people with Parkinson's disease.",4.45,5,data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
120,Rehabilitation,Does stretching reduce stiffness?,"Yes. Regular stretching helps reduce muscle stiffness, improve flexibility, maintain joint mobility, and increase range of motion.","Yes, stretching helps you fight the muscle rigidity that comes with PD.",23.69,5,data\Parkinson_Disease\research_papers\rehabilitation\CD013856.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf
121,Rehabilitation,Is physiotherapy effective?,"Yes. Physiotherapy improves gait, posture, balance, muscle strength, flexibility, and functional independence in Parkinson's disease patients.","The guideline committee believes that physiotherapy is beneficial for those earlier in the course of the disease, as it may delay or lessen problems associated with symptoms, and also for those who have already developed symptoms and problems. It aims to prevent secondary complications and may even induce neuroprotection.

However, at present, no substantial evidence exists to support the efficacy of physiotherapy as an early intervention to prevent the onset or reduce the severity of motor symptoms, because most trials have been conducted in people who have already developed motor symptoms.

For manual activities, no CCTs (Controlled Clinical Trials) have evaluated the effects of physiotherapy using critical outcomes, so no GRADE-based recommendations are available. Nevertheless, results from non-CCTs show improved speed of execution, bi-manual coordination, improved reaching speed, and reduced bradykinesia after specific physiotherapy trainings.

Physiotherapy goals can relate to prevention of secondary complications, maintenance, and improvement.",5.67,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
122,Rehabilitation,What is gait training?,"Gait training is a rehabilitation technique that improves walking pattern, stride length, balance, and mobility while reducing the risk of falls.",I could not find sufficient information in the provided documents.,2.52,5,data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\deep_learning\sensors-24-05957.pdf
123,Rehabilitation,Can balance exercises help?,"Yes. Balance exercises strengthen postural stability, improve coordination, and reduce the likelihood of falls in Parkinson's disease.","Yes, balance exercises have been shown to improve balance in individuals with Parkinson's Disease. Moderate-quality evidence of benefit of balance as the most assessed motor outcome was found by several different exercises. Balance training has also been shown to improve balance compared with resistance training, and gait-related measures may be improved with balance training. Core strengthening may also improve balance.",23.87,5,data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
124,Rehabilitation,Does swimming help Parkinson's disease?,"Yes. Swimming provides low-impact aerobic exercise that improves cardiovascular fitness, muscle strength, flexibility, and overall mobility.","Yes, aquatic exercise and hydrotherapy have been shown to help people with Parkinson's disease.

Specifically:
*   Aquatic exercise improves motor impairments in people with Parkinson's disease, with similar or greater benefits than land-based exercise. (Cugusi et al., 2019)
*   Hydrotherapy has effects on balance, functional mobility, motor status, and quality of life in patients with Parkinson's disease. (Pinto et al., 2017)
*   Aquatic therapy affects gait, balance, and quality of life in patients with Parkinson’s Disease. (Pritchard et al., 2019)
*   Water-based exercise has effects on functioning and quality of life in people with Parkinson’s disease. (Gomes Neto et al., 2020)
*   Water-based exercise is effective in people living with Parkinson’s disease. (Aya ´ n Pe ´ rez C, Cancela JM, 2014)
*   A study also examined the effects of aquatic Ai Chi in Parkinson disease. (Pérez-de la Cruz S, 2018)",6.6,5,data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\research_papers\rehabilitation\CD013856.pdf
125,Rehabilitation,How does occupational therapy help Parkinson's disease patients?,"Occupational therapy helps patients maintain independence by improving daily living activities such as dressing, eating, writing, bathing, and home safety.","Occupational therapists help Parkinson's disease patients by:
*   Focusing on everyday activities such as bathing, dressing, and eating.
*   Simplifying routines and managing fatigue.
*   Assisting with cognitive skills like attention, planning, and completing tasks.
*   Identifying and using adaptive equipment, such as special utensils.
*   Making home modifications to improve safety and independence.
*   Providing a baseline evaluation before starting an exercise program and designing exercise routines that target specific movement challenges, offering tips on effective and safe exercise.
*   Providing services that support mental and physical health and wellness, including helping patients learn coping strategies and create healthy routines.",3.17,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
126,Rehabilitation,Can rehabilitation improve quality of life?,"Yes. Comprehensive rehabilitation enhances mobility, communication, independence, emotional well-being, and overall quality of life.","Yes, rehabilitation can improve quality of life.

Three high-quality studies supported improvements in health-related quality of life (PDQ-39) with integrated care compared with usual medical care control. These programs included a 4-week inpatient intensive rehabilitation with physical, occupational, and speech therapy. Additionally, increased rehabilitation hours have shown a beneficial effect on quality of life (PDQ-39) at 6 weeks, with effects persisting at 6 months. Improvements in quality of life are also listed as a benefit of implementing recommendations, which include rehabilitation.",24.47,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
127,Rehabilitation,How does speech therapy improve communication in Parkinson's disease?,"Speech therapy improves voice volume, speech clarity, swallowing function, breathing control, and communication skills using specialized exercises.","Speech language therapy can improve vocal pitch and range, leading to improved communication for patients. Strategies to improve speech and communication include attention to effort therapies.",2.89,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
128,Rehabilitation,How often should patients exercise?,"Patients are generally encouraged to perform moderate physical activity for at least 150 minutes per week, following recommendations from their healthcare provider.","For maximum benefit for people with PD, research suggests that aerobic activity should be at least three times a week for 30 minutes.

Data from the Parkinson’s Outcomes Project confirms that 2.5 hours of weekly exercise is the target amount for people with Parkinson’s to maintain a better quality of life. This means 30 minutes of exercise, five times a week. This can be performed continuously or spread out throughout the day.

It is also suggested to aim for about 30 minutes of activity each day if possible, which can be broken into shorter sessions.",3.64,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pone.0293826_progression.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf
129,Rehabilitation,Can physical activity slow progression?,"Regular physical activity may improve brain function, mobility, and symptom control, and evidence suggests it may help slow functional decline, although it does not cure the disease.","Given that exercise is biologically protective against degenerative processes, it is plausible that exercise may slow down disease progression in individuals with Parkinson's Disease. This is promising, but not clear yet, and to date there has been limited evidence to support this in human models, although it is an area of growing research.",44.36,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf
130,Rehabilitation,What rehabilitation programs are recommended?,"Recommended rehabilitation programs include physiotherapy, occupational therapy, speech and swallowing therapy, balance training, gait training, aerobic exercise, strength training, and multidisciplinary rehabilitation.",I could not find sufficient information in the provided documents.,22.6,5,data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
131,Disease Progression,How does Parkinson's disease progress?,"Parkinson's disease is a progressive neurodegenerative disorder that gradually worsens over time, affecting movement, balance, cognition, and various non-motor functions.","Parkinson's disease is a disorder of the nervous system that affects movement and gets worse over time. As symptoms worsen, people with PD may have difficulty walking, talking, or completing everyday tasks. By the time symptoms appear, most people have lost 60 to 80% or more of the dopamine-producing cells in the substantia nigra, a brain area where nerve cells weaken, become damaged, and die.",2.28,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\research_papers\progression\nihms-1790081_progression.pdf | data\Parkinson_Disease\foundation_resources\APDA\Education & Support _ American Parkinson Disease Assoc_.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
132,Disease Progression,What are the stages of Parkinson's disease?,"Parkinson's disease is commonly divided into five stages using the Hoehn and Yahr scale, ranging from mild unilateral symptoms to severe disability requiring assistance.",I could not find sufficient information in the provided documents.,1.86,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\research_papers\diagnosis\10-1055-s-0043-1777775.pdf
133,Disease Progression,What is Stage 1 Parkinson's disease?,"Stage 1 is the earliest stage, characterized by mild symptoms affecting only one side of the body with little or no functional impairment.",I could not find sufficient information in the provided documents.,1.92,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\diagnosis\nihms-1697463_biomarkers.pdf | data\Parkinson_Disease\research_papers\genetics\nihms-1697463_genetics.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf
